DEPT    CAL   CILD   CNSS    DT    DRHO   GR    RHOB    ILD    SP                                                                
   224.600    11.6060    55.1180   -99999.0    97.6380   -99999.0    49.1340   -99999.0    16.0630    42.5200 
   224.800    11.3230    56.6930   -99999.0   101.5750   -99999.0    57.4020   -99999.0    15.4330    42.5200 
   225.000    11.4330    59.8430   -99999.0   103.5430   -99999.0    59.0550   -99999.0    14.9610    42.5200 
   225.200    11.5430    62.9920   -99999.0   104.1730   -99999.0    59.0550   -99999.0    14.3620    42.8350 
   225.400    12.1892    66.1421   -99999.0   104.6460   -99999.0    61.1812   -99999.0    14.0469    42.8350 
   225.600    12.7870    69.2910   -99999.0   105.2760   -99999.0    61.6540   -99999.0    13.7320    43.1500 
   225.800    12.3460    72.4410   -99999.0   105.5120   -99999.0    63.3070   -99999.0    13.3230    43.1500 
   226.000    10.8500    72.4410   -99999.0   103.8580   -99999.0    61.6540   -99999.0    13.0080    43.1500 
   226.200    10.1570    74.0160   -99999.0   101.1020   -99999.0    59.7640   -99999.0    13.1020    43.1500 
   226.400    10.4722    75.5911   -99999.0   100.3940   -99999.0    58.8191   -99999.0    13.3540    43.1500 
   226.600    10.7400    75.5910   -99999.0   104.8030   -99999.0    59.2910   -99999.0    13.4800    43.1500 
   226.800    10.9920    75.5910   -99999.0   106.6930   -99999.0    63.3070   -99999.0    13.4800    43.1500 
   227.000    10.3310    77.1650   -99999.0   108.7400   -99999.0    66.3780   -99999.0    12.6930    43.1500 
   227.200     9.4800    78.7400   -99999.0   106.3780   -99999.0    69.4490   -99999.0    12.2830    43.1500 
   227.400     9.2598    80.3149   -99999.0   103.8582   -99999.0    72.7559   -99999.0    12.2200    43.1500 
   227.600     9.3070    80.3150   -99999.0   104.9610   -99999.0    77.4800   -99999.0    12.3150    43.1500 
   227.800     9.3860    80.3150   -99999.0   108.2680   -99999.0    81.2600   -99999.0    12.1260    42.8350 
   228.000     9.4650    80.3150   -99999.0   112.9130   -99999.0    82.4410   -99999.0    12.0940    42.2050 
   228.200     9.5280    80.3150   -99999.0   114.2520   -99999.0    81.9690   -99999.0    12.0310    41.2600 
   228.400     9.4800    80.3150   -99999.0   113.0710   -99999.0    79.3700   -99999.0    12.3780    40.3150 
   228.600     9.0390    78.7400   -99999.0   109.2130   -99999.0    71.8110   -99999.0    12.6930    40.3150 
   228.800     8.9450    80.3150   -99999.0   107.7950   -99999.0    68.2680   -99999.0    12.5670    40.3150 
   229.000     9.1340    81.8900   -99999.0   107.5590   -99999.0    66.1420   -99999.0    12.4090    40.0000 
   229.200     9.3860    81.8900   -99999.0   109.2910   -99999.0    65.9060   -99999.0    12.0627    39.6851 
   229.400     9.4650    81.8900   -99999.0   111.9690   -99999.0    70.6300   -99999.0    11.9060    39.6850 
   229.600     9.5280    83.4650   -99999.0   113.6220   -99999.0    76.5350   -99999.0    11.4960    39.3700 
   229.800     9.5280    89.7640   -99999.0   115.3540   -99999.0    81.0240   -99999.0    10.8350    40.0000 
   230.000     9.5430   100.7870   -99999.0   115.6690   -99999.0    85.0390   -99999.0    10.1730    40.6300 
   230.200     9.5590   111.8125   -99999.0   112.3623   -99999.0    85.2760   -99999.0     8.4409    41.2603 
   230.400     9.5750   124.4090   -99999.0   111.4170   -99999.0    78.6610   -99999.0     7.9060    41.8900 
   230.600     9.5590   137.0080   -99999.0   116.8500   -99999.0    76.7720   -99999.0     7.3070    42.5200 
   230.800     9.5590   144.8820   -99999.0   127.4800   -99999.0    78.6610   -99999.0     6.7090    43.1500 
   231.000     9.4490   154.3310   -99999.0   135.3540   -99999.0    87.6380   -99999.0     6.0470    43.1500 
   231.200     9.5590   170.0781   -99999.0   135.5910   -99999.0    90.4719   -99999.0     5.9840    42.8350 
   231.400     9.6220   171.6540   -99999.0   132.2830   -99999.0    92.5980   -99999.0     6.0790    42.5200 
   231.600     9.6060   162.2050   -99999.0   127.5590   -99999.0    91.4170   -99999.0     6.2680    42.2050 
   231.800     9.5280   149.6060   -99999.0   125.8270   -99999.0    88.1100   -99999.0     6.6770    42.2050 
   232.000     9.5750   137.0080   -99999.0   124.5670   -99999.0    86.6930   -99999.0     7.8430    42.2050 
   232.200     9.6380   125.9844   -99999.0   120.5508   -99999.0    88.8191   -99999.0     8.6611    41.2600 
   232.400     9.4650   108.6610   -99999.0   115.4330   -99999.0    87.8740   -99999.0     9.2600    40.0000 
   232.600     9.2600    94.4880   -99999.0   111.3390   -99999.0    77.2440   -99999.0    11.0550    38.7400 
   232.800     9.0390    78.7400   -99999.0   102.6770   -99999.0    65.9060   -99999.0    11.8110    39.0550 
   233.000     9.1500    74.0160   -99999.0   102.5200   -99999.0    62.5980   -99999.0    13.2910    39.3700 
   233.200     9.2760    67.7188   -99999.0   102.7561   -99999.0    66.1448   -99999.0    13.6692    40.3152 
   233.400     9.4170    70.8660   -99999.0   106.2200   -99999.0    66.8500   -99999.0    13.5430    40.3150 
   233.600     9.1650    74.0160   -99999.0   102.8350   -99999.0    64.4880   -99999.0    13.3860    40.6300 
   233.800     9.0550    77.1650   -99999.0   101.3390   -99999.0    63.0710   -99999.0    13.1970    41.2600 
   234.000     9.0390    81.8900   -99999.0   101.6540   -99999.0    63.0710   -99999.0    12.9760    41.2600 
   234.200     9.2599    85.0388   -99999.0   104.3308   -99999.0    65.9058   -99999.0    12.8820    40.9448 
   234.400     9.1650    88.1890   -99999.0   109.6850   -99999.0    72.5200   -99999.0    12.7560    40.3150 
   234.600     9.1020    86.6140   -99999.0   110.3940   -99999.0    73.7010   -99999.0    12.3460    40.6300 
   234.800     9.1020    85.0390   -99999.0   110.3940   -99999.0    72.7560   -99999.0    12.3780    41.2600 
   235.000     9.0870    83.4650   -99999.0   110.4720   -99999.0    72.0470   -99999.0    12.9130    41.2600 
   235.200     9.0550    81.8899   -99999.0   110.2358   -99999.0    72.0470   -99999.0    13.1020    41.2600 
   235.400     8.9450    80.3150   -99999.0   109.6060   -99999.0    71.3390   -99999.0    13.2910    41.5750 
